release_year,MOVIE,SHOW,MOVIE/TV RATIO
1945,,1.0,
1954,2.0,,
1956,1.0,,
1958,1.0,,
1959,1.0,,
1960,1.0,,
1961,1.0,,
1963,1.0,,
1966,1.0,,
1967,2.0,,
1969,1.0,1.0,1.0
1971,1.0,,
1972,2.0,1.0,2.0
1973,1.0,,
1974,1.0,,
1975,2.0,,
1976,3.0,,
1977,1.0,,
1978,1.0,,
1979,5.0,,
1980,3.0,,
1981,2.0,1.0,2.0
1982,5.0,1.0,5.0
1983,3.0,1.0,3.0
1984,5.0,1.0,5.0
1985,1.0,,
1986,4.0,,
1987,5.0,1.0,5.0
1988,6.0,1.0,6.0
1989,9.0,3.0,3.0
1990,7.0,,
1991,11.0,2.0,5.5
1992,2.0,1.0,2.0
1993,12.0,2.0,6.0
1994,12.0,4.0,3.0
1995,8.0,2.0,4.0
1996,5.0,2.0,2.5
1997,14.0,2.0,7.0
1998,17.0,5.0,3.4
1999,10.0,3.0,3.3333333333333335
2000,6.0,5.0,1.2
2001,14.0,6.0,2.3333333333333335
2002,13.0,9.0,1.4444444444444444
2003,22.0,9.0,2.4444444444444446
2004,31.0,7.0,4.428571428571429
2005,22.0,10.0,2.2
2006,32.0,13.0,2.4615384615384617
2007,38.0,10.0,3.8
2008,47.0,16.0,2.9375
2009,40.0,19.0,2.1052631578947367
2010,47.0,19.0,2.473684210526316
2011,60.0,26.0,2.3076923076923075
2012,76.0,31.0,2.4516129032258065
2013,100.0,35.0,2.857142857142857
2014,109.0,44.0,2.477272727272727
2015,134.0,89.0,1.5056179775280898
2016,228.0,134.0,1.7014925373134329
2017,384.0,179.0,2.1452513966480447
2018,473.0,300.0,1.5766666666666667
2019,525.0,311.0,1.6881028938906752
2020,500.0,314.0,1.5923566878980893
2021,473.0,314.0,1.5063694267515924
2022,200.0,171.0,1.1695906432748537
